"Period","Rcp","Temp"
"Period 07-21","RCP2.6",11.1871780821918
"Period 07-21","RCP2.6",10.912131147541
"Period 07-21","RCP2.6",11.7752739726027
"Period 07-21","RCP2.6",11.8531917808219
"Period 07-21","RCP2.6",11.3487465753425
"Period 07-21","RCP2.6",11.3458606557377
"Period 07-21","RCP2.6",11.0591369863014
"Period 07-21","RCP2.6",11.4186301369863
"Period 07-21","RCP2.6",12.018095890411
"Period 07-21","RCP2.6",11.3584904371585
"Period 07-21","RCP2.6",11.6858150684932
"Period 07-21","RCP2.6",11.8098561643836
"Period 07-21","RCP2.6",11.7927328767123
"Period 07-21","RCP2.6",12.1149385245902
"Period 07-21","RCP2.6",11.6262260273973
"Period 07-21","RCP6.0",11.2064657534247
"Period 07-21","RCP6.0",11.2345081967213
"Period 07-21","RCP6.0",11.2258835616438
"Period 07-21","RCP6.0",11.372301369863
"Period 07-21","RCP6.0",11.2295616438356
"Period 07-21","RCP6.0",11.391174863388
"Period 07-21","RCP6.0",11.4084520547945
"Period 07-21","RCP6.0",11.5330342465753
"Period 07-21","RCP6.0",11.5379931506849
"Period 07-21","RCP6.0",11.0986816939891
"Period 07-21","RCP6.0",11.6617260273973
"Period 07-21","RCP6.0",11.5445273972603
"Period 07-21","RCP6.0",11.4772671232877
"Period 07-21","RCP6.0",11.4213524590164
"Period 07-21","RCP6.0",11.8503219178082
"Period 07-21","RCP8.5",10.8022328767123
"Period 07-21","RCP8.5",10.9267213114754
"Period 07-21","RCP8.5",11.4126780821918
"Period 07-21","RCP8.5",11.8443698630137
"Period 07-21","RCP8.5",11.5594383561644
"Period 07-21","RCP8.5",11.4781284153005
"Period 07-21","RCP8.5",10.9753767123288
"Period 07-21","RCP8.5",11.7824726027397
"Period 07-21","RCP8.5",11.648
"Period 07-21","RCP8.5",11.8378210382514
"Period 07-21","RCP8.5",11.4215890410959
"Period 07-21","RCP8.5",11.8598835616438
"Period 07-21","RCP8.5",11.6202465753425
"Period 07-21","RCP8.5",11.7778483606557
"Period 07-21","RCP8.5",12.7051849315068
"Period 45-59","RCP2.6",12.3549315068493
"Period 45-59","RCP2.6",12.3873835616438
"Period 45-59","RCP2.6",12.5864589041096
"Period 45-59","RCP2.6",12.0230396174863
"Period 45-59","RCP2.6",12.9570410958904
"Period 45-59","RCP2.6",12.0301164383562
"Period 45-59","RCP2.6",12.0617671232877
"Period 45-59","RCP2.6",12.3511680327869
"Period 45-59","RCP2.6",12.1100684931507
"Period 45-59","RCP2.6",12.4541575342466
"Period 45-59","RCP2.6",12.2419315068493
"Period 45-59","RCP2.6",12.4010792349727
"Period 45-59","RCP2.6",11.8926643835616
"Period 45-59","RCP2.6",12.2431095890411
"Period 45-59","RCP2.6",12.1392671232877
"Period 45-59","RCP6.0",12.4496712328767
"Period 45-59","RCP6.0",12.2958287671233
"Period 45-59","RCP6.0",12.0912465753425
"Period 45-59","RCP6.0",12.2405806010929
"Period 45-59","RCP6.0",12.231301369863
"Period 45-59","RCP6.0",11.8713150684931
"Period 45-59","RCP6.0",11.9987123287671
"Period 45-59","RCP6.0",12.249706284153
"Period 45-59","RCP6.0",12.7162328767123
"Period 45-59","RCP6.0",12.5888082191781
"Period 45-59","RCP6.0",12.8383150684932
"Period 45-59","RCP6.0",12.5686885245902
"Period 45-59","RCP6.0",12.703595890411
"Period 45-59","RCP6.0",12.6274931506849
"Period 45-59","RCP6.0",12.7021712328767
"Period 45-59","RCP8.5",12.6944657534247
"Period 45-59","RCP8.5",12.9463287671233
"Period 45-59","RCP8.5",13.3187465753425
"Period 45-59","RCP8.5",12.5421857923497
"Period 45-59","RCP8.5",12.9666232876712
"Period 45-59","RCP8.5",12.9450821917808
"Period 45-59","RCP8.5",13.0969931506849
"Period 45-59","RCP8.5",13.4047950819672
"Period 45-59","RCP8.5",13.2967876712329
"Period 45-59","RCP8.5",13.0001301369863
"Period 45-59","RCP8.5",13.3229589041096
"Period 45-59","RCP8.5",12.8049112021858
"Period 45-59","RCP8.5",13.102904109589
"Period 45-59","RCP8.5",13.8613904109589
"Period 45-59","RCP8.5",13.6755890410959
"Period 85-99","RCP2.6",12.5696095890411
"Period 85-99","RCP2.6",12.2167465753425
"Period 85-99","RCP2.6",11.9585136986301
"Period 85-99","RCP2.6",12.2120491803279
"Period 85-99","RCP2.6",11.5929794520548
"Period 85-99","RCP2.6",12.3447328767123
"Period 85-99","RCP2.6",12.2175684931507
"Period 85-99","RCP2.6",12.4059426229508
"Period 85-99","RCP2.6",12.5164246575342
"Period 85-99","RCP2.6",12.2621506849315
"Period 85-99","RCP2.6",12.5264520547945
"Period 85-99","RCP2.6",12.130143442623
"Period 85-99","RCP2.6",12.7222671232877
"Period 85-99","RCP2.6",11.973397260274
"Period 85-99","RCP2.6",12.9620342465753
"Period 85-99","RCP6.0",13.5824520547945
"Period 85-99","RCP6.0",13.5522465753425
"Period 85-99","RCP6.0",13.0924315068493
"Period 85-99","RCP6.0",13.580806010929
"Period 85-99","RCP6.0",13.9717191780822
"Period 85-99","RCP6.0",13.5803767123288
"Period 85-99","RCP6.0",13.8225136986301
"Period 85-99","RCP6.0",13.5597131147541
"Period 85-99","RCP6.0",13.4436301369863
"Period 85-99","RCP6.0",13.1498493150685
"Period 85-99","RCP6.0",13.6812123287671
"Period 85-99","RCP6.0",13.4654986338798
"Period 85-99","RCP6.0",13.5377191780822
"Period 85-99","RCP6.0",13.0653561643836
"Period 85-99","RCP6.0",13.6621369863014
"Period 85-99","RCP8.5",14.6265479452055
"Period 85-99","RCP8.5",14.9143698630137
"Period 85-99","RCP8.5",15.2505821917808
"Period 85-99","RCP8.5",15.1721721311475
"Period 85-99","RCP8.5",15.3421301369863
"Period 85-99","RCP8.5",15.0664931506849
"Period 85-99","RCP8.5",15.4841849315068
"Period 85-99","RCP8.5",15.2521243169399
"Period 85-99","RCP8.5",14.9735410958904
"Period 85-99","RCP8.5",14.8185890410959
"Period 85-99","RCP8.5",15.3985479452055
"Period 85-99","RCP8.5",15.6315163934426
"Period 85-99","RCP8.5",15.4418767123288
"Period 85-99","RCP8.5",15.4095890410959
"Period 85-99","RCP8.5",15.7213150684932
