"Year","Mean","Min","Max","Type"
2006,3.0635,2.499,3.737,"RCP60"
2007,3.66525,2.99,4.055,"RCP60"
2008,4.6915,3.622,5.431,"RCP60"
2009,4.177,3.739,4.781,"RCP60"
2010,3.71325,2.917,4.364,"RCP60"
2011,3.57875,3.168,4.048,"RCP60"
2012,3.86025,3.521,4.307,"RCP60"
2013,3.861,2.067,4.921,"RCP60"
2014,4.08125,3.72,4.491,"RCP60"
2015,3.741,3.372,4.095,"RCP60"
2016,4.0525,3.623,4.303,"RCP60"
2017,4.17425,3.441,5.202,"RCP60"
2018,3.1445,1.611,4.253,"RCP60"
2019,4.16825,3.271,5.392,"RCP60"
2020,4.4255,4.134,4.787,"RCP60"
2021,3.17675,2.832,3.723,"RCP60"
2022,4.274,3.917,4.647,"RCP60"
2023,3.265,1.977,4.12,"RCP60"
2024,3.8895,1.717,5.57,"RCP60"
2025,3.659,3.082,4.124,"RCP60"
2026,3.17875,2.012,4.64,"RCP60"
2027,4.2805,3.402,4.815,"RCP60"
2028,4.29,3.802,4.73,"RCP60"
2029,4.488,4.12,5.06,"RCP60"
2030,4.13325,3.536,4.571,"RCP60"
2031,4.74775,3.589,5.94,"RCP60"
2032,4.50275,3.991,5.332,"RCP60"
2033,4.15275,3.481,5.408,"RCP60"
2034,4.2095,3.093,4.723,"RCP60"
2035,3.57075,3.106,4.212,"RCP60"
2036,3.764,3.285,4.287,"RCP60"
2037,3.482,2.655,5.002,"RCP60"
2038,4.452,3.58,5.863,"RCP60"
2039,4.381,3.092,5.194,"RCP60"
2040,4.5185,4.401,4.564,"RCP60"
2041,3.882,3.36,4.529,"RCP60"
2042,3.7725,3.402,4.123,"RCP60"
2043,3.92975,2.408,5.122,"RCP60"
2044,4.19025,3.355,4.917,"RCP60"
2045,4.0745,2.918,5.144,"RCP60"
2046,4.1095,2.539,4.859,"RCP60"
2047,4.086,3.111,5.043,"RCP60"
2048,3.01325,1.94,4.414,"RCP60"
2049,3.267,2.733,4.485,"RCP60"
2050,3.9315,2.982,4.93,"RCP60"
2051,4.13125,3.292,4.778,"RCP60"
2052,3.505,2.895,5.004,"RCP60"
2053,4.0775,2.166,5.027,"RCP60"
2054,4.01075,3.396,4.899,"RCP60"
2055,3.31625,2.31,4.023,"RCP60"
2056,3.601,1.768,5.092,"RCP60"
2057,3.95725,2.812,4.757,"RCP60"
2058,3.692,2.545,4.709,"RCP60"
2059,4.106,3.16,5.409,"RCP60"
2060,3.4455,2.133,5.315,"RCP60"
2061,3.28275,1.798,5.261,"RCP60"
2062,4.07425,3.241,5.184,"RCP60"
2063,4.20425,2.176,5.14,"RCP60"
2064,3.37375,2.345,5.137,"RCP60"
2065,3.3995,2.871,4.225,"RCP60"
2066,2.621,1.203,4.226,"RCP60"
2067,2.92325,0.79,4.806,"RCP60"
2068,2.6025,1.756,3.052,"RCP60"
2069,2.0705,1.641,3.116,"RCP60"
2070,2.65375,1.139,4.37,"RCP60"
2071,3.17425,1.016,4.06,"RCP60"
2072,2.57575,1.385,4.978,"RCP60"
2073,2.38275,0.683,3.483,"RCP60"
2074,2.9675,1.246,4.375,"RCP60"
2075,2.492,0.92,4.366,"RCP60"
2076,2.618,1.039,3.946,"RCP60"
2077,2.41525,0,5.542,"RCP60"
2078,3.096,1.526,4.416,"RCP60"
2079,2.7195,0.542,5.022,"RCP60"
2080,2.194,0.325,4.249,"RCP60"
2081,2.8705,2.331,4.01,"RCP60"
2082,3.66175,1.79,4.992,"RCP60"
2083,2.0045,0,5.181,"RCP60"
2084,2.604,1.516,4.639,"RCP60"
2085,2.40975,1.294,4.253,"RCP60"
2086,2.30375,0.177,4.922,"RCP60"
2087,2.71625,0.17,6.342,"RCP60"
2088,1.99125,0,3.699,"RCP60"
2089,1.817,0.65,4.475,"RCP60"
2090,2.17475,0,4.682,"RCP60"
2091,1.46325,0,4.601,"RCP60"
2092,2.2765,0,5.615,"RCP60"
2093,2.0785,0.577,4.615,"RCP60"
2094,2.54375,1.117,4.593,"RCP60"
2095,1.929,0,4.39,"RCP60"
2096,2.3715,1.217,3.337,"RCP60"
2097,2.412,0,4.443,"RCP60"
2098,2.0795,0.632,4.784,"RCP60"
2099,2.0675,0,4.949,"RCP60"
