"Year","Mean","Min","Max","Type"
2006,4.2685,3.209,4.836,"Surface withdrawal"
2007,5.14625,4.282,5.947,"Surface withdrawal"
2008,4.872,4.168,5.369,"Surface withdrawal"
2009,5.09975,4.322,5.896,"Surface withdrawal"
2010,4.26375,3.818,4.572,"Surface withdrawal"
2011,4.81425,4.25,5.454,"Surface withdrawal"
2012,4.148,3.439,5.624,"Surface withdrawal"
2013,5.33925,4.614,6.281,"Surface withdrawal"
2014,4.30675,4.086,4.458,"Surface withdrawal"
2015,4.7835,4.114,5.191,"Surface withdrawal"
2016,4.3725,3.987,4.588,"Surface withdrawal"
2017,4.7235,4.201,5.144,"Surface withdrawal"
2018,4.695,4.167,5.379,"Surface withdrawal"
2019,4.26775,3.704,4.586,"Surface withdrawal"
2020,4.72475,3.644,5.796,"Surface withdrawal"
2021,4.0335,3.216,4.528,"Surface withdrawal"
2022,4.497,2.942,5.246,"Surface withdrawal"
2023,4.5515,3.959,5.13,"Surface withdrawal"
2024,4.726,4.033,5.283,"Surface withdrawal"
2025,4.7175,3.614,5.281,"Surface withdrawal"
2026,4.7365,3.828,5.134,"Surface withdrawal"
2027,4.99125,4.798,5.11,"Surface withdrawal"
2028,4.7115,4.118,5.159,"Surface withdrawal"
2029,4.4455,3.051,5.078,"Surface withdrawal"
2030,4.49875,4.167,4.707,"Surface withdrawal"
2031,4.769,3.599,5.638,"Surface withdrawal"
2032,4.6955,4.514,4.915,"Surface withdrawal"
2033,4.995,4.536,5.65,"Surface withdrawal"
2034,5.008,4.348,5.569,"Surface withdrawal"
2035,4.901,3.806,5.849,"Surface withdrawal"
2036,5.01575,4.69,5.93,"Surface withdrawal"
2037,4.34975,3.722,5.29,"Surface withdrawal"
2038,4.37975,3.925,4.638,"Surface withdrawal"
2039,4.625,4.305,5.226,"Surface withdrawal"
2040,4.59775,4.149,5.168,"Surface withdrawal"
2041,4.04125,3.814,4.668,"Surface withdrawal"
2042,4.5725,2.969,5.315,"Surface withdrawal"
2043,4.42325,3.629,5.223,"Surface withdrawal"
2044,4.29475,4.042,4.73,"Surface withdrawal"
2045,4.7585,4.229,5.751,"Surface withdrawal"
2046,4.5995,4.076,5.572,"Surface withdrawal"
2047,4.15425,2.632,5.409,"Surface withdrawal"
2048,4.98375,4.18,5.308,"Surface withdrawal"
2049,4.53925,3.717,5.238,"Surface withdrawal"
2050,4.11975,3.285,5.121,"Surface withdrawal"
2051,4.633,3.924,5.124,"Surface withdrawal"
2052,4.27675,3.392,5.017,"Surface withdrawal"
2053,4.58525,3.715,5.316,"Surface withdrawal"
2054,5.185,4.336,6.101,"Surface withdrawal"
2055,4.46375,4.063,4.808,"Surface withdrawal"
2056,4.75775,4.458,5.135,"Surface withdrawal"
2057,4.029,2.746,5.306,"Surface withdrawal"
2058,3.922,3.269,4.799,"Surface withdrawal"
2059,4.07,3.174,4.897,"Surface withdrawal"
2060,4.214,3.025,5.021,"Surface withdrawal"
2061,3.92375,3.279,4.424,"Surface withdrawal"
2062,3.90175,2.627,5.059,"Surface withdrawal"
2063,4.42,3.763,5.977,"Surface withdrawal"
2064,3.52925,2.903,4.212,"Surface withdrawal"
2065,4.12825,3.849,4.525,"Surface withdrawal"
2066,4.12375,2.952,4.635,"Surface withdrawal"
2067,3.71575,3.04,4.155,"Surface withdrawal"
2068,2.90625,2.113,4.027,"Surface withdrawal"
2069,4.332,3.719,4.916,"Surface withdrawal"
2070,3.971,3.543,4.429,"Surface withdrawal"
2071,3.534,2.007,4.217,"Surface withdrawal"
2072,3.7365,3.257,4.161,"Surface withdrawal"
2073,4.29525,3.772,4.874,"Surface withdrawal"
2074,3.08025,2.026,4.426,"Surface withdrawal"
2075,3.521,2.357,4.576,"Surface withdrawal"
2076,3.29725,2.858,3.905,"Surface withdrawal"
2077,3.88975,3.572,4.535,"Surface withdrawal"
2078,2.012,0.416,2.871,"Surface withdrawal"
2079,2.54575,1.159,3.89,"Surface withdrawal"
2080,3.231,2.548,3.825,"Surface withdrawal"
